"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C5, C8","4","150pF","Capacitor_SMD:C_0402_1005Metric",""
"2","C2, C6","2","1uF","Capacitor_SMD:C_0402_1005Metric",""
"3","C3, C7","2","100pF","Capacitor_SMD:C_0402_1005Metric",""
"4","C9, C11","2","0.33uF","Capacitor_SMD:C_0402_1005Metric",""
"5","C10, C12","2","0.1uF","Capacitor_SMD:C_0402_1005Metric",""
"6","J1, J2, J3","3","Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"7","L1, L2","2","56nH","Inductor_SMD:L_0402_1005Metric",""
"8","R1, R2","2","100k","Resistor_SMD:R_0402_1005Metric",""
"9","U1, U2","2","PMA2-63LN+","Imports:SON8_PMA2_MNC",""
"10","U3","1","YAT-1A+","Imports:MC1630_MNC",""
"11","U4, U5","2","L7805","Package_TO_SOT_SMD:TO-263-2",""
