TRACE-A	FREQ-A	TRACE-B	FREQ-B	TRACE-C	FREQ-C
-91.62	7400.000001	-91.556	7400.000001	-91.957	7400.000001
-91.628	7403.636364	-91.565	7403.636364	-91.965	7403.636364
-91.246	7407.272728	-91.093	7407.272728	-91.397	7407.272728
-91.156	7410.909091	-91.855	7410.909091	-91.472	7410.909091
-91.656	7414.545455	-91.872	7414.545455	-91.269	7414.545455
-91.188	7418.181819	-91.658	7418.181819	-91.524	7418.181819
-91.312	7421.818182	-91.559	7421.818182	-91.025	7421.818182
-91.338	7425.454546	-91.217	7425.454546	-90.964	7425.454546
-90.468	7429.09091	-92.067	7429.09091	-91.435	7429.09091
-91.343	7432.727273	-90.987	7432.727273	-90.821	7432.727273
-91.975	7436.363637	-91.57	7436.363637	-91.652	7436.363637
-91.462	7440.000001	-90.969	7440.000001	-91.346	7440.000001
-91.254	7443.636364	-91.396	7443.636364	-91.199	7443.636364
-91.153	7447.272728	-91.568	7447.272728	-90.952	7447.272728
-91.122	7450.909091	-91.107	7450.909091	-91.524	7450.909091
-91.2	7454.545455	-91.671	7454.545455	-91.826	7454.545455
-91.283	7458.181819	-91.23	7458.181819	-91.295	7458.181819
-91.395	7461.818182	-91.044	7461.818182	-91.938	7461.818182
-91.136	7465.454546	-91.419	7465.454546	-91.072	7465.454546
-90.931	7469.09091	-91.293	7469.09091	-90.82	7469.09091
-90.858	7472.727273	-91.56	7472.727273	-90.391	7472.727273
-90.975	7476.363637	-91.292	7476.363637	-91.184	7476.363637
-90.691	7480.000001	-91.404	7480.000001	-91.122	7480.000001
-91.062	7483.636364	-90.882	7483.636364	-91.11	7483.636364
-90.49	7487.272728	-91.606	7487.272728	-91.459	7487.272728
-90.206	7490.909091	-91.207	7490.909091	-90.757	7490.909091
-91.209	7494.545455	-90.354	7494.545455	-91.321	7494.545455
-90.959	7498.181819	-91.337	7498.181819	-91.153	7498.181819
-91.714	7501.818182	-90.709	7501.818182	-90.151	7501.818182
-90.872	7505.454546	-91.444	7505.454546	-90.79	7505.454546
-90.966	7509.09091	-90.701	7509.09091	-90.939	7509.09091
-90.78	7512.727273	-91.116	7512.727273	-90.652	7512.727273
-90.564	7516.363637	-90.619	7516.363637	-90.828	7516.363637
-91.087	7520.000001	-90.556	7520.000001	-90.305	7520.000001
-90.434	7523.636364	-90.731	7523.636364	-90.762	7523.636364
-90.222	7527.272728	-90.339	7527.272728	-90.21	7527.272728
-90.791	7530.909091	-90.35	7530.909091	-91.007	7530.909091
-90.941	7534.545455	-90.876	7534.545455	-90.563	7534.545455
-90.65	7538.181819	-90.516	7538.181819	-89.921	7538.181819
-90.594	7541.818182	-90.196	7541.818182	-90.053	7541.818182
-90.68	7545.454546	-90.969	7545.454546	-90.444	7545.454546
-89.959	7549.09091	-90.26	7549.09091	-90.022	7549.09091
-89.909	7552.727273	-90.171	7552.727273	-90.472	7552.727273
-90.605	7556.363637	-91.254	7556.363637	-89.923	7556.363637
-90.29	7560.000001	-90.52	7560.000001	-89.677	7560.000001
-90.504	7563.636364	-90.114	7563.636364	-90.301	7563.636364
-89.942	7567.272728	-90.502	7567.272728	-90.243	7567.272728
-89.686	7570.909091	-89.567	7570.909091	-89.56	7570.909091
-89.543	7574.545455	-89.595	7574.545455	-89.894	7574.545455
-89.549	7578.181819	-90.216	7578.181819	-90.042	7578.181819
-89.479	7581.818182	-90.571	7581.818182	-89.434	7581.818182
-89.874	7585.454546	-90.129	7585.454546	-89.718	7585.454546
-89.851	7589.09091	-89.849	7589.09091	-88.982	7589.09091
-88.696	7592.727273	-89.713	7592.727273	-89.4	7592.727273
-89.224	7596.363637	-88.728	7596.363637	-89.121	7596.363637
-89.068	7600.000001	-88.79	7600.000001	-88.487	7600.000001
-88.675	7603.636364	-89.216	7603.636364	-87.954	7603.636364
-88.727	7607.272728	-89.01	7607.272728	-87.891	7607.272728
-88.605	7610.909091	-88.665	7610.909091	-88.315	7610.909091
-88.312	7614.545455	-88.068	7614.545455	-88.155	7614.545455
-88.093	7618.181819	-88.574	7618.181819	-87.693	7618.181819
-88.119	7621.818182	-88.555	7621.818182	-87.466	7621.818182
-88.348	7625.454546	-88.4	7625.454546	-87.211	7625.454546
-88.064	7629.09091	-88.185	7629.09091	-87.395	7629.09091
-87.755	7632.727273	-87.604	7632.727273	-87.49	7632.727273
-87.881	7636.363637	-88.36	7636.363637	-86.633	7636.363637
-88.06	7640.000001	-88.048	7640.000001	-86.314	7640.000001
-87.224	7643.636364	-87.811	7643.636364	-86.929	7643.636364
-87.731	7647.272728	-88.263	7647.272728	-87.281	7647.272728
-87.644	7650.909091	-88.053	7650.909091	-86.828	7650.909091
-87.691	7654.545455	-87.622	7654.545455	-86.949	7654.545455
-87.312	7658.181819	-87.673	7658.181819	-86.585	7658.181819
-86.967	7661.818182	-87.351	7661.818182	-85.936	7661.818182
-86.917	7665.454546	-87.172	7665.454546	-86.532	7665.454546
-86.545	7669.09091	-86.806	7669.09091	-85.641	7669.09091
-86.199	7672.727273	-87.104	7672.727273	-84.864	7672.727273
-86.806	7676.363637	-87.03	7676.363637	-84.886	7676.363637
-85.789	7680.000001	-86.83	7680.000001	-84.53	7680.000001
-85.585	7683.636364	-86.326	7683.636364	-85.244	7683.636364
-85.348	7687.272728	-86.224	7687.272728	-84.286	7687.272728
-85.306	7690.909091	-86.552	7690.909091	-84.294	7690.909091
-85.634	7694.545455	-85.581	7694.545455	-84.635	7694.545455
-85.273	7698.181819	-86.232	7698.181819	-83.812	7698.181819
-85.006	7701.818182	-86.197	7701.818182	-83.826	7701.818182
-85.181	7705.454546	-85.676	7705.454546	-83.459	7705.454546
-85.549	7709.09091	-85.843	7709.09091	-84.169	7709.09091
