FREQ-A	TRACE-A	FREQ-B	TRACE-B
7650.000001	-84.19	7650.000001	-82.594
7652.727273	-84.17	7652.727273	-82.319
7655.454546	-83.968	7655.454546	-82.073
7658.181819	-84.678	7658.181819	-82.358
7660.909091	-83.134	7660.909091	-81.922
7663.636364	-83.51	7663.636364	-81.863
7666.363637	-83.701	7666.363637	-81.607
7669.09091	-84.002	7669.09091	-81.362
7671.818182	-82.58	7671.818182	-80.654
7674.545455	-83.512	7674.545455	-80.465
7677.272728	-82.972	7677.272728	-80.604
7680.000001	-82.997	7680.000001	-80.498
7682.727273	-81.233	7682.727273	-79.899
7685.454546	-81.992	7685.454546	-79.704
7688.181819	-82.679	7688.181819	-79.763
7690.909091	-82.974	7690.909091	-79.409
7693.636364	-81.923	7693.636364	-79.246
7696.363637	-81.992	7696.363637	-79.949
7699.09091	-82.182	7699.09091	-78.945
7701.818182	-82.327	7701.818182	-78.708
7704.545455	-80.916	7704.545455	-77.974
7707.272728	-80.428	7707.272728	-78.637
7710.000001	-80.728	7710.000001	-78.544
7712.727273	-80.967	7712.727273	-78.035
7715.454546	-80.165	7715.454546	-78.279
7718.181819	-81.197	7718.181819	-78.431
7720.909091	-80.028	7720.909091	-77.184
7723.636364	-80.005	7723.636364	-78.135
7726.363637	-79.798	7726.363637	-76.999
7729.09091	-80.549	7729.09091	-77.435
7731.818182	-79.618	7731.818182	-76.131
7734.545455	-79.663	7734.545455	-76.746
7737.272728	-78.984	7737.272728	-76.724
7740.000001	-79.607	7740.000001	-76.139
7742.727273	-78.071	7742.727273	-75.894
7745.454546	-78.748	7745.454546	-76.134
7748.181819	-77.876	7748.181819	-76.139
7750.909091	-78.151	7750.909091	-75.764
7753.636364	-76.949	7753.636364	-75.436
7756.363637	-77.82	7756.363637	-74.357
7759.09091	-77.907	7759.09091	-74.666
7761.818182	-77.863	7761.818182	-74.187
7764.545455	-76.557	7764.545455	-73.75
7767.272728	-77.543	7767.272728	-74.348
7770.000001	-77.154	7770.000001	-74.432
7772.727273	-77.184	7772.727273	-74.808
7775.454546	-76.522	7775.454546	-74.045
7778.181819	-76.899	7778.181819	-74.292
7780.909091	-76.884	7780.909091	-73.143
7783.636364	-76.4	7783.636364	-73.908
7786.363637	-76.12	7786.363637	-73.336
7789.09091	-76.815	7789.09091	-74.332
7791.818182	-76	7791.818182	-73.52
7794.545455	-76.254	7794.545455	-73.524
7797.272728	-75.872	7797.272728	-73.16
7800.000001	-75.912	7800.000001	-73.853
7802.727273	-75.801	7802.727273	-73.156
7805.454546	-75.938	7805.454546	-73.465
7808.181819	-76.291	7808.181819	-73.538
7810.909091	-76.236	7810.909091	-72.184
7813.636364	-75.377	7813.636364	-73.62
7816.363637	-76.477	7816.363637	-73.828
7819.09091	-75.139	7819.09091	-73.006
7821.818182	-75.592	7821.818182	-74.109
7824.545455	-75.872	7824.545455	-73.041
7827.272728	-76.049	7827.272728	-72.962
7830.000001	-75.207	7830.000001	-72.599
7832.727273	-76.011	7832.727273	-72.691
7835.454546	-74.574	7835.454546	-73.537
7838.181819	-76.038	7838.181819	-74.208
7840.909091	-75.072	7840.909091	-72.963
7843.636364	-76.053	7843.636364	-73.217
7846.363637	-75.911	7846.363637	-73.212
7849.09091	-76.262	7849.09091	-73.421
7851.818182	-75.396	7851.818182	-72.638
7854.545455	-75.941	7854.545455	-73.682
7857.272728	-75.969	7857.272728	-74.056
7860.000001	-76.647	7860.000001	-74.381
7862.727273	-76.441	7862.727273	-73.295
7865.454546	-76.761	7865.454546	-73.488
7868.181819	-75.338	7868.181819	-73.818
7870.909091	-76.326	7870.909091	-73.992
7873.636364	-76.24	7873.636364	-74.036
7876.363637	-77.099	7876.363637	-73.081
7879.09091	-76.426	7879.09091	-73.232
7881.818182	-76.312	7881.818182	-74.757
7884.545455	-76.299	7884.545455	-73.815
7887.272728	-76.9	7887.272728	-73.822
7890.000001	-77.007	7890.000001	-73.33
7892.727273	-76.876	7892.727273	-73.469
7895.454546	-77.068	7895.454546	-74.012
7898.181819	-76.665	7898.181819	-74.351
7900.909091	-76.689	7900.909091	-73.865
7903.636364	-77.017	7903.636364	-73.959
7906.363637	-76.246	7906.363637	-73.679
7909.09091	-76.664	7909.09091	-74.105
7911.818182	-76.555	7911.818182	-73.822
7914.545455	-76.975	7914.545455	-74.153
7917.272728	-76.822	7917.272728	-73.406
7920.000001	-76.37	7920.000001	-73.206
7922.727273	-77.059	7922.727273	-73.711
7925.454546	-76.564	7925.454546	-73.651
7928.181819	-76.595	7928.181819	-73.269
7930.909091	-76.807	7930.909091	-73.975
7933.636364	-76.738	7933.636364	-72.662
7936.363637	-75.833	7936.363637	-73.776
7939.09091	-76.536	7939.09091	-73.276
7941.818182	-76.64	7941.818182	-73.471
7944.545455	-76.725	7944.545455	-73.703
7947.272728	-76.574	7947.272728	-73.772
