Pin	Vout
-60	0.0297
-59	0.0297
-58	0.0297
-57	0.0297
-56	0.0297
-55	0.0297
-54	0.0297
-53	0.0297
-52	0.0297
-51	0.0297
-50	0.0297
-49	0.0297
-48	0.0297
-47	0.0297
-46	0.0297
-45	0.0297
-44	0.0297
-43	0.065
-42	0.39
-41	0.442
-40	0.482
-39	0.526
-38	0.572
-37	0.614
-36	0.646
-35	0.683
-34	0.724
-33	0.774
-32	0.828
-31	0.876
-30	0.924
-29	0.98
-28	1.038
-27	1.095
-26	1.144
-25	1.19
-24	1.241
-23	1.3
-22	1.353
-21	1.4
-20	1.438
-19	1.508
-18	1.572
-17	1.65
-16	1.671
-15	1.721
-14	1.784
-13	1.839
-12	1.887
-11	1.939
-10	2.002
-9	2.074
-8	2.132
-7	2.19
-6	2.26
-5	2.315
-4	2.362
-3	2.405
-2	2.458
-1	2.52
0	2.58
